Team,PPG,,,
Coventry City,2.50,,,
Ipswich Town,2.27,,,
Middlesbrough,2.14,,,
Watford,1.93,,,
Millwall,1.93,,,
Birmingham City,1.93,,,
Hull City,1.86,,,
Swansea City,1.67,,,
Bristol City,1.60,,,
Wrexham,1.60,,,
QP Rangers,1.64,,,
Southampton,1.64,,,
Preston,1.53,,,
Leicester City,1.57,,,
West Brom,1.57,,,
Stoke City,1.50,,,
Charlton,1.62,,,
Sheffield Utd,1.54,,,
Portsmouth,1.36,,,
Derby County,1.20,,,
Oxford Utd,1.07,,,
Norwich City,0.93,,,
Blackburn,0.79,,,
Sheffield Wed,0.27,,,

Team,PPG,,,
Middlesbrough,1.67,,,
Hull City,1.71,,,
Derby County,1.71,,,
Coventry City,1.53,,,
Stoke City,1.40,,,
Norwich City,1.33,,,
Wrexham,1.43,,,
Preston,1.43,,,
Millwall,1.43,,,
Bristol City,1.36,,,
Blackburn,1.29,,,
QP Rangers,1.13,,,
Ipswich Town,1.23,,,
Leicester City,1.07,,,
Sheffield Utd,1.00,,,
Watford,1.08,,,
Southampton,0.93,,,
Oxford Utd,0.86,,,
Birmingham City,0.80,,,
Swansea City,0.79,,,
Charlton,0.73,,,
Portsmouth,0.85,,,
West Brom,0.67,,,
Sheffield Wed,0.54,,,